Tile Generation Debug Log
Input Dir: D:\Documents\Development\ethyrialwiki\ethyrialwiki\tools\scripts\minimap_data\extracted
Terrain Path: D:\Documents\Development\ethyrialwiki\ethyrialwiki\tools\scripts\terrain.png
Offset (tx, ty): (200, 350)
Tile Bounds: X=[0, 5], Y=[0, 4]
Tile Size: 1000x1000
--------------------
Tile (X, Y) | Composite Pos (px, py) | Terrain Crop Box (L, T, R, B)
--------------------
(   0,    2) | (    0,  2000) | (200, 2350, 1200, 3350)
(   0,    3) | (    0,  1000) | (200, 1350, 1200, 2350)
(   0,    4) | (    0,     0) | (200, 350, 1200, 1350)
(   1,    2) | ( 1000,  2000) | (1200, 2350, 2200, 3350)
(   1,    3) | ( 1000,  1000) | (1200, 1350, 2200, 2350)
(   1,    4) | ( 1000,     0) | (1200, 350, 2200, 1350)
(   2,    1) | ( 2000,  3000) | (2200, 3350, 3200, 4350)
(   2,    2) | ( 2000,  2000) | (2200, 2350, 3200, 3350)
(   2,    3) | ( 2000,  1000) | (2200, 1350, 3200, 2350)
(   2,    4) | ( 2000,     0) | (2200, 350, 3200, 1350)
(   3,    0) | ( 3000,  4000) | (3200, 4350, 4200, 4950)
(   3,    1) | ( 3000,  3000) | (3200, 3350, 4200, 4350)
(   3,    2) | ( 3000,  2000) | (3200, 2350, 4200, 3350)
(   3,    3) | ( 3000,  1000) | (3200, 1350, 4200, 2350)
(   4,    0) | ( 4000,  4000) | (4200, 4350, 5200, 4950)
(   4,    1) | ( 4000,  3000) | (4200, 3350, 5200, 4350)
(   4,    2) | ( 4000,  2000) | (4200, 2350, 5200, 3350)
(   4,    3) | ( 4000,  1000) | (4200, 1350, 5200, 2350)
(   4,    4) | ( 4000,     0) | (4200, 350, 5200, 1350)
(   5,    2) | ( 5000,  2000) | (5200, 2350, 6200, 3350)
(   5,    3) | ( 5000,  1000) | (5200, 1350, 6200, 2350)
(   5,    4) | ( 5000,     0) | (5200, 350, 6200, 1350)
